title,price,taste,brand,description,spirit_style,state
Old Pulteney Navigator,46.99,None,Old Pulteney," Highlands, Scotland- In honor of Old Pulteney's rich maritime heritage and the skillful individuals that pilot vessels safely across the world's seas every day. A full flavored scotch with bursts of honey, cocoa and oranges. Enjoy the long-lasting, spicy finish. ",Single Malt,
Paul John Kanya,259.99, Rich . Spice . Citrus . Sweet . Long ,Paul John," India- Kanya is an unpeated expression that has been aged in first-fill American white oak casks and bottled at 50% ABV. Only 1,500 bottles were produced. In Jim Murray's Whisky Bible 2018, this expression was awarded the title of Best Asian Whisky 2018! ",,
Paul John Single Malt Bold,67.99,None,Paul John," India- A fully peated single malt. Peat is brought over from Islay and used to dry the 6-row Indian barley. Fragrant with toasted barley, dried grass, kipper smoke, citrus peels, and brown sugar. On the palate, notes of honeyed oak and fruity coffee mingle with peat. Spicy finish. ",Single Malt,
Paul John Single Malt Brilliance,52.99,None,Paul John," India- The demerara sugars give off sweet fragrances with aromas of cinnamon, a dash of honey, and faint spices. The palate is sweet and spices and all things nice. They honey-like smoothness is offset by the crunch bar crispness. ",Single Malt,
Paul John Single Malt Edited,59.99,None,Paul John," India- Honey and cocoa aromas are laced with a hint of smokiness and notes of espresso. A deeper whiff reveals fruity fragrances. Grassy flavors of barley show up first, but gently make way for subtle peat notes. Finishes with a rush of mint and mocha. ",Single Malt,
Paul John Single Malt Peated Bold Whisky,69.99,None,Paul John," Inida- Following their edited release, Bold is a fully peated single malt from Paul Distilleries. Peat is brought over to Goa from Islay for bold, where it is used to dry their six row Indian barley. Flavors of honeyed oak, coffee, spicy porridge, dry toast, peppered oak and peat. ",Single Malt,
Paul John Sngl Malt Classic Slct Cask,89.99,None,Paul John," India- A big, meaty nose of stewed apples and pears, freshly baked sponge cake, golden barley, and a pinch of salt. Lots of honey on the palate, joined by deft spicy notes of cinnamon and cracked pepper. Glimmers of fruit and dark chocolate. Juicy fruit and oak on the finish. ",Single Malt,
Paul John Sngl Malt Peated Slct Cask,99.99,None,Paul John," India- Aromas of walnut, barley sugar sweets, and classic earthy peat notes. A touch of salt. More barbecue smoke, sugar, and slightly damp earthy notes on the palate with hints of tropical fruit and spice. Bitter orange peels on the finish. A good balance of sweet and peat. ",Single Malt,
Penderyn Madeira Single Malt Whisky,53.99, Medium . Vanilla . Herbal . Balanced ,Penderyn," England- This Gold Medal award winning single malt is crafted in the only distillery in Wales. The unique whisky is matured in bourbon barrels and finished in Madeira casks resulting in cream toffee, rich fruit and raisin aromas balanced by the sweet dryness of vanilla on the finish. ",Single Malt,
Pigs Nose,32.49,None,Pigs Nose," Scotland- Specially selected Speyside, Islay and Lowland malts married with gentle grain whiskies aged for 5 years to produce a blend which is truly ""as soft as a Pig's Nose"". ",Blended Scotch,
Pinch Scotch,37.99,None,Pinch, Scotland- Pinch is known as The Dimple everywhere except in the USA. It is fourth most popular blended deluxe scotch worldwide with a high percentage of malt whiskies including Glenkinchie and Linkwood. ,Blended Scotch,
Pipers 100,12.99,None,100 Pipers," Scotland- A blended Scotch made of between 25 and 30 different whiskies. A smoky body that is smooth and lightly sweet, with a long, nutty finish. Perfect as a mixer in cocktails. ",Blended Scotch,
Pipers Clan Blended Scotch Whisky,11.99, Light . Baked Fruit . Clove . Mild ,Pipers Clan," Scotland - The finest blended Scotch Whisky has been produced by careful selection of whiskies from over 25 of the finest malt distilleries in Scotland. Each malt whisky contributes its unique flavors and aromas, resulting in excellent quality and fullness of body and smoothness. ",Blended Scotch,
Port Askaig 110 Proof,74.99,None,Port Askaig," Scotland- Port Askaig 110 proof is a harmonious marriage of carefully selected casks, creating the perfect balance of sweet fruit and dark smoke, typical of the finest Islay whiskies. To keep its purity, our whisky is non chill-filtered and no coloring is added. ",Single Malt,Islay & Islands
Port Askaig 8 Yr,65.99,None,Port Askaig," Scotland- Port Askaig 8 year old Single Malt Scotch Whisky is surprisingly sweet with caramel paste, honey glazed barbecued bacon slices, lemongrass and charcoal. The finish is a bit spicier. The perfect companion for a BBQ evening with some friends! ",Single Malt,Islay & Islands
Port Charlotte 10 Yr Peated Scotch,69.99,None,Remy Cointreau,,Single Malt,Speyside
Port Charlotte Heavily Peated Islay Single Malt Scotch Whiskey 2011,79.99,None,Remy Cointreau,,Single Malt,Islay & Islands
Port Dundas 12 Yr,39.99, Light . Vanilla . Oat . Nut . Balanced ,Port Dundas," Scotland - The 12 year old grain Scotch Whisky, aged in American Oak casks, is different from traditional Scotch whiskies. Fruity ripe banana and crisp apples lead the spicy-sweet nose. Vanilla-rich flavors of cereal bar and chocolate dominates the palate. The finish is warming. ",,Lowland
Port Dundas 18 Yr,94.99, Light . Toffee . Vanilla . Balanced ,Port Dundas," Scotland - This 18 Year Old, long aged in American Oak casks, is complex yet easy going, with rich and indulgent flavor. Buttery toffee and crisp fruit lead the spicy-sweet nose. Nutty butterscotch and vanilla that balanced by white pepper on the delicious palate. The finish is long. ",Blended Scotch,
Port Dundas 52 Yr,979.99, Rich . Coconut . Tropical . Long ,Port Dundas," Scotland- Dried coconut, granola, vanilla and coffee aromas on the nose. Hints of nougat and bourbon on the palate, with a touch of tropical fruit. Long finish with coconut and a touch of grapefruit. ",Single Malt,
Port Ellen 34 Yr,1999.99, Intense . Peat . Herbal . Smoke . Long ,Port Ellen," Islay, Scotland- Part of Diageo's annual Special Releases, this scotch exudes aromas and flavors of olives, mossy peat and a touch of thyme and tarragon followed by interesting notes of ice cream and rich wood smoke. Smoky fruity finish. Sip neat. Enjoy! ",Single Malt,
Port Ellen 35 Yr,4099.99,None,Port Ellen," Islay, Scotland - To the nose, there is still a green edge, with mossy peat alongside cream, On the palate, nutty and full with rich peat and wood smoke. The finish is dry, smoky, some allspice and cocoa. Magnificent. ",Single Malt,
Port Ellen 37 Yr,4299.99, Intense . Spice . Peat . Fruit . Complex ,Port Ellen," Scotland- This is a big, spicy dram, balancing smoke and hot spice against the traditional leather, citrus, and seaside character. The 16th release of whisky from cult closed distillery Port Ellen. ",Single Malt,
Port Ellen Crystal Decanter,5999.99, Intense . Peat . Spice . Long ,Port Ellen," Islay, Scotland - Port Ellen matured in sherry cask can be spicy and sweet, while bourbon cask can be peppery. Both casks show high level of peatiness, an incredible complexity which Islay fans adore. Sip neat or add a drop or two of water to open up the flavor and aroma. Enjoy! ",Single Malt,
Prometheus 26 Yr,899.99, Intense . Peat . Vanilla . Chocolate . Long ,Prometheus," Speyside, Scotland - Peated barley from the highlands of Scotland and then skillfully mastered by the decades of experience from the Titan of Speyside? If this really is what we think it is then this would clearly be the bargain of the decade! Prometheus. A great Whisky. A must have. ",Single Malt,Speyside
Rampur Indian Single Malt Whisky,72.99,None,Rampur, India- Made from specially selected barley grown at the foot of the Himalayas. Carefully distilled in small batches and aged in American white oak bourbon barrels. Non-chill filtered to preserve full aromas. ,Single Malt,
Reisetbauer Single Malt 12Yr,124.99,None,Reisetbauer," Austria- This single malt whisky is convincing on the palate with wonderful notes of chocolate and cocoa and a very dense, fruity aroma of malt. Its maturation in Trockenbeerenauslese casks gives it a dry and sweet character with a slightly smoky note. ",Single Malt,
Ron Burgundy Scotch,27.99,None,Ron Burgundy," Scotland- ""Named in honor of me, award winning anchorman, poet, and Scotch aficionado, Ron Burgundy. This exceptional blended Scotch whisky contains grain and mature malt Scotch whiskies from Speyside, Highlands and Islay. The result is a complex rich fruit flavor and long finish."" ",Blended Scotch,
Rosebank 21 Yr,579.99, Rich . Fruit . Floral . Balanced ,Rosebank," Lowlands, Scotland - On the nose, there are floral notes, lychee, grapefruit, and some faint gentle spice and malt. On the palate, grapefruit Turkish delight with all the powder, light sponge cake, marshmallow and floral notes. The finish is drying. ",Single Malt,
Royal Challenge Whisky,17.99,None,Royal Challenge, India- Full-bodied blend of imported scotch and select Indian malts. Carefully matured in imported white oak casks to attain the unique blend which makes Royal Challenge a connoisseur's delight. Synonymous with the finest Indian Whisky. ,Single Malt,
Scallywag,64.99,None,Scallywag," Scotland - To the nose, sweetness jumps up like an excited puppy. Icing sugar, sultanas and candied ginger. On the palate, the sweetness surprisingly retreats, revealing nutmeg and cereal. A pinch of oak spice joins the vanilla and sherry for the finish. ",Blended Scotch,
Scapa Glansa,79.99,None,Scapa," Islay & Islands, Scotland- Fruity sweet aromas of soft peach, pineapple, and vanilla intermingled with bonfire smoke. Peach and ripe flavors on the palate with creamy caramel toffee and vanilla. Very long finish with marked smokiness. ",Single Malt,Islay & Islands
Scapa Skiren,65.99,None,Scapa," HIghland, Scotland - Inspired by the summer's bright, glittering skies described in Old Norse as Skiren, this expression is exclusively matured in first-fill American oak casks for a smooth creamy sweetness with a hint of tropical fruit, citrus, and coastal heather. ",Single Malt,Highland
Scottish Leader Blended Scotch,17.99,None,Scottish Leader," Scotland - Scottish Leader ORIGINAL blend brings together the finest malt and grain whiskies to create a smooth and balanced Scotch. The new developed blend, with additional malt content, retains the existing characteristics of Scottish Leader with increased body and balance. ",Blended Scotch,
Sensei Japanese Whiskey,44.99,None,Sensei," Japan- Sensei Whiskey is a blended Japanese Whiskey that showcases sweet notes of oak and slight caramel flavors, which are followed by light spice throughout the palate. The finish is long and smooth. ",Single Malt,
Shackleton Blended Malt Scotch,34.99,None,Shackleton," Scotland- This whisky paves a new path for customers between blended whisky and single malt scotch. Notes of vanilla, toffee apple, and hints of marmalade and cinnamon spice. An initial wave of mollasses, freshly baked bread and mango cake. ",,
Sheep Dip,35.99, Fruit . Smoke . Spice ,Sheep Dip," Islay, Scotland- A hand crafted scotch vatted malt whisky made from sixteen single malt whiskies aged between eight and sixteen years in first fill oak, perfectly balanced floral, fresh fruits, smoke and Islay flavors. ",Single Malt,Islay & Islands
Shieldaig 'The Classic' Blend,15.99, Delicate . Spice . Smoke . Oak . Balanced ,Shieldaig, Scotland- A blend of specially selected Single Malts and grain Scotch Whiskies carefully chosen by the master blender in order to create a blend with light and satisfying flavors. Perfect as your everyday Scotch. Gold Medal and Best of Category- 2014 LA Spirits Competition ,Blended Scotch,
Shieldaig 'The Classic' Blend 12Yr,21.99, Rich . Smoke . Oak . Balanced ,Shieldaig," Scotland- A smooth, classic blend containing Speyside and Island malts, each matured for at least 12 years. Harmonious oak, malt, and smoke flavors with a long and elegant finish. Can be enjoyed with mixers, but best sipped slowly straight up or on the rocks. ",Blended Scotch,
Shieldaig Highland Peaty Single Malt,15.99, Intense . Sea Salt . Peat . Balanced ,Shieldaig," Highlands, Scotland- From an island off of the Highland coast.This unique Single Malt brings the brine and smoke to a region known mostly for more delicate malts. Rich, complex and slowly matured. Best enjoyed straight up or with a cube or two of ice. Gold Medal SF Spirits Competition ",Single Malt,Highland
